user_id,age,gender,city_level,monthly_consumption,shopping_frequency,product_diversity,high_value_purchase_history,average_browse_time,promotion_participation,favorites_count,friends_count,sharing_times,purchase_high_value_probability
86,32,0,1,5523,11,7,0,435,30,17,232,78,1
87,43,0,2,6226,1,15,1,642,37,33,304,55,1
88,39,0,2,5341,4,21,1,954,21,87,174,14,1
89,22,1,3,6430,0,38,1,894,44,2,129,47,1
90,39,1,3,6365,12,7,1,623,48,91,325,70,0
91,47,0,3,4236,0,15,0,487,43,81,65,36,0
92,49,1,4,6205,9,14,0,742,5,45,212,93,1
93,48,1,4,8810,17,40,0,139,16,99,39,44,0
94,44,0,4,9161,4,44,1,280,8,66,44,14,1
95,65,1,2,5706,2,47,1,363,19,44,472,39,0
96,57,1,4,2004,13,15,0,925,17,38,256,54,1
97,43,1,1,4402,15,44,0,514,29,77,245,63,0
98,24,1,1,3044,16,47,0,449,37,81,4,5,1
99,34,1,2,1415,16,49,1,70,42,44,98,68,1
100,28,0,2,1673,11,32,0,416,48,14,65,27,0
101,69,1,1,6283,11,48,1,328,33,71,255,59,0
102,63,1,4,7458,13,26,1,95,35,48,496,5,1
103,38,1,4,9018,0,50,1,337,9,7,6,27,1
104,42,1,2,4870,13,41,0,450,24,87,287,20,1
105,45,1,2,6551,9,19,1,61,18,85,314,28,1
106,25,0,1,6310,16,30,1,328,3,81,316,11,1
107,26,0,4,8635,9,19,1,13,46,59,144,63,1
108,65,1,1,8680,10,24,0,335,39,52,335,40,1
109,57,0,4,9265,1,10,0,914,39,72,18,28,0
110,46,1,1,2133,12,42,1,229,35,14,162,84,0
111,33,0,4,1190,11,47,1,409,16,23,421,55,0
112,46,1,3,2848,7,8,1,292,42,15,323,78,0
113,45,0,4,5137,10,17,0,147,33,38,363,21,1
114,69,1,3,8440,1,42,1,893,42,95,300,15,1
115,28,1,2,8037,16,31,1,186,18,65,499,38,0
116,55,1,4,2568,1,44,0,288,15,90,346,60,1
117,63,1,3,9614,12,35,1,587,0,93,109,32,0
118,56,0,3,9837,15,10,1,974,49,35,1,31,0
119,43,0,1,5617,16,5,1,425,2,7,381,26,0
120,39,1,3,2492,2,25,1,284,39,6,478,40,1
121,30,1,2,5415,11,48,0,116,28,43,220,30,0
122,23,1,2,8923,9,25,1,206,17,32,297,24,1
123,39,1,3,4077,8,6,0,875,9,96,336,56,0
124,27,1,1,2825,16,35,0,970,48,72,72,55,1
125,53,1,1,4366,3,8,1,57,33,25,216,89,0
126,47,1,1,7147,1,1,0,590,34,31,37,71,0
127,42,1,3,7040,19,44,1,31,12,55,239,13,0
128,57,0,4,1784,6,4,0,131,25,98,275,77,0
129,32,1,2,2182,6,28,1,948,39,58,203,97,1
130,29,1,1,2406,11,16,0,275,3,18,209,67,0
131,66,0,1,8142,15,11,1,450,38,42,389,67,0
132,18,0,1,7997,7,7,1,96,17,23,234,89,1
133,28,0,4,2617,13,16,1,884,35,87,270,26,0
134,39,1,2,9496,13,4,1,897,46,63,200,32,0
135,62,0,3,1958,1,49,1,29,30,99,172,73,0
136,50,1,3,5213,20,15,0,511,30,30,74,55,1
137,63,1,2,8064,0,11,1,353,36,38,56,96,0
138,24,1,2,6632,10,22,0,983,27,80,204,94,1
139,58,1,1,2762,4,25,1,290,28,5,176,93,1
140,66,1,4,1407,9,15,0,72,50,11,292,18,1
141,23,0,2,8731,4,12,0,568,19,25,297,52,1
142,62,0,4,3923,13,39,1,626,28,70,329,32,1
143,49,0,4,6925,10,19,1,973,10,76,8,35,0
144,56,1,3,8214,19,45,0,779,21,12,331,96,1
145,48,0,2,5333,5,16,1,352,22,81,96,27,1
146,38,0,4,5836,6,21,0,288,36,1,277,39,0
147,21,1,4,6424,7,31,0,576,3,55,345,4,0
148,31,0,3,4952,12,15,1,290,43,90,166,49,0
149,58,0,1,3128,0,23,0,273,25,12,10,12,1
150,26,1,4,3696,16,36,0,759,18,42,472,4,1
151,57,0,2,3892,20,50,1,357,24,41,289,96,1
152,19,0,3,6416,11,29,0,955,0,72,168,31,0
153,46,0,3,8710,12,24,0,456,26,47,291,22,0
154,24,0,2,9771,10,42,0,213,23,90,343,76,1
155,66,0,1,1249,9,2,0,53,30,71,51,100,0
156,44,1,3,2402,17,28,0,349,8,26,301,14,1
157,49,1,2,3748,4,28,1,135,26,97,70,21,0
158,36,1,2,3086,2,19,1,586,39,6,433,29,0
159,55,0,1,7738,2,49,0,913,46,64,456,67,0
160,35,1,4,4738,1,33,0,89,5,31,120,64,1
161,49,1,1,4980,14,46,0,423,6,85,458,89,0
162,22,0,2,6111,20,16,1,110,39,94,291,54,1
163,64,1,2,5873,17,10,1,68,1,10,15,27,1
164,28,0,2,8941,7,13,0,76,0,38,29,4,1
165,26,0,4,8495,14,27,1,183,0,3,189,31,0
166,39,1,3,1711,1,40,1,968,7,48,404,76,0
167,26,0,2,7685,4,35,1,103,13,71,479,17,1
168,70,0,4,4924,0,44,0,397,41,51,116,23,1
169,29,0,4,6071,13,40,1,207,13,56,414,62,0
170,31,0,2,7800,8,7,1,817,20,99,355,25,0
171,67,1,4,1359,4,36,1,783,25,77,403,90,0
172,46,1,2,4286,16,19,1,399,32,30,177,76,1
173,21,1,3,9592,16,37,0,897,24,16,107,69,1
174,61,1,1,5777,5,26,1,227,6,69,134,21,0
175,40,0,2,1852,6,40,1,553,33,98,237,13,0
176,50,0,1,6856,15,8,1,491,46,29,413,89,1
177,62,1,1,7134,3,17,0,880,42,14,214,45,1
178,24,1,3,1883,16,50,1,625,41,38,276,32,1
179,64,0,1,9315,4,14,0,303,40,39,383,70,1
180,58,0,4,9507,11,9,1,410,28,85,428,76,1
181,34,1,4,9128,1,31,1,977,10,90,55,34,1
182,22,0,2,1878,5,15,0,969,14,78,130,89,1
183,33,0,2,8148,0,36,1,159,46,90,85,58,0
184,26,0,4,3169,12,22,1,113,0,23,296,25,1
185,62,1,2,4992,7,34,0,877,31,22,244,42,0
186,18,0,2,4445,18,6,0,630,34,2,19,13,1
187,59,1,3,8486,18,3,0,707,13,89,133,67,1
188,54,0,2,3656,7,14,0,503,30,23,85,39,0
189,57,0,2,3581,10,26,0,677,10,57,464,75,1
190,40,0,1,9172,0,39,0,804,16,32,236,29,1
191,19,1,3,7189,3,38,1,639,2,68,494,46,1
192,21,1,4,2800,2,35,1,294,47,28,208,96,1
193,57,0,1,8592,19,6,0,178,30,78,436,82,0
194,45,1,4,9810,13,24,0,830,49,59,183,83,1
195,40,0,2,8809,14,34,1,658,14,25,473,37,0
196,70,1,3,1507,4,11,1,799,35,36,21,31,0
197,49,1,4,3943,12,4,0,408,27,1,427,13,1
198,30,0,4,8681,10,21,1,534,49,1,230,6,0
199,66,1,1,2312,15,2,1,894,16,69,316,21,0
200,50,1,4,9466,15,6,1,908,29,95,392,89,1
201,38,0,4,8918,3,17,0,614,32,38,411,21,0
202,26,0,1,2402,20,17,0,746,33,68,422,66,1
203,66,0,2,3811,2,4,1,20,33,16,210,93,1
204,63,1,4,7543,4,39,0,258,45,57,173,89,0
205,42,1,1,8075,17,20,0,883,17,73,428,69,0
206,46,0,2,8614,4,31,0,803,38,32,29,97,0
207,63,1,2,3101,14,1,1,914,18,9,428,25,0
208,45,1,3,7526,8,26,0,368,42,44,342,9,0
209,18,0,1,1438,8,41,0,997,45,49,339,9,1
210,41,1,1,6764,8,32,0,893,39,61,379,11,0
211,20,0,4,9504,17,48,1,527,23,43,490,40,1
212,52,1,4,9247,11,40,0,375,31,90,7,51,0
213,54,0,1,6874,6,21,1,420,34,44,334,5,0
214,61,1,3,9950,13,12,1,590,17,86,375,97,1
215,35,1,4,8458,11,6,1,456,7,7,148,24,0
216,46,0,2,5115,4,20,1,305,49,30,35,45,1
217,34,1,2,3290,8,12,0,814,49,84,498,89,0
218,44,1,1,6219,12,33,1,394,2,84,53,13,0
219,69,1,1,1252,8,29,1,225,46,12,478,88,0
220,46,0,4,4542,15,4,1,81,21,67,137,65,1
221,43,1,4,6150,20,40,0,51,31,7,336,53,0
222,36,0,4,1475,13,24,0,120,29,81,206,84,1
223,20,1,3,9733,17,15,1,484,35,31,390,98,1
224,38,1,1,3865,18,49,0,403,2,91,450,57,1
225,60,1,2,1256,15,17,1,847,39,34,410,28,0
226,46,0,1,1778,20,36,0,664,7,93,87,0,1
227,55,0,1,8052,20,43,0,503,16,24,117,92,0
228,24,0,3,7685,16,45,1,87,39,83,10,94,1
229,27,0,2,9435,1,35,0,18,31,96,219,13,1
230,25,1,4,7396,5,3,0,58,11,14,254,81,0
231,31,0,1,6855,15,43,1,610,41,79,423,41,0
232,44,0,3,7471,15,20,0,443,10,81,48,84,1
233,34,1,4,1950,18,2,0,295,21,19,380,88,0
234,35,1,3,1257,19,10,1,681,12,98,288,78,1
235,48,1,4,3498,4,50,1,802,3,20,435,13,0
236,28,1,3,5328,10,27,1,77,14,72,322,24,1
237,39,0,3,3797,3,27,0,466,48,53,153,4,0
238,53,0,1,1117,18,36,0,758,16,20,153,0,0
239,57,1,1,9721,14,38,0,39,8,78,192,85,1
240,62,1,4,7244,17,35,0,495,44,75,411,37,1
241,39,1,3,1566,16,6,1,972,30,53,423,51,1
242,47,1,4,2314,19,42,0,362,38,88,435,96,1
243,60,1,2,2359,2,7,1,620,14,98,440,7,1
244,26,1,3,1111,0,31,0,67,47,48,132,96,0
245,20,0,3,7870,5,42,1,691,2,16,395,13,1
246,26,0,3,3144,9,21,1,640,36,25,436,11,0
247,47,0,2,5692,18,45,0,33,25,59,320,3,0
248,67,1,2,9007,2,23,1,446,12,76,38,59,1
249,27,1,2,8815,20,31,0,351,48,32,450,33,1
250,53,1,1,9607,5,7,0,843,49,62,422,85,0
251,63,1,4,1563,17,36,0,864,41,7,61,28,1
252,32,0,4,1980,1,26,0,359,44,49,153,0,0
253,60,1,3,6009,1,4,1,390,10,69,261,63,1
254,24,0,4,9657,9,28,0,765,34,77,464,87,0
255,54,1,4,1553,20,9,1,648,39,35,420,47,1
256,69,1,1,7733,16,31,0,976,7,85,206,57,0
257,18,0,2,6890,11,25,1,464,48,39,275,77,1
258,54,1,2,2441,15,28,0,435,8,35,137,77,1
259,27,0,2,7955,2,36,0,969,41,70,272,22,1
260,46,1,2,5382,3,6,1,883,37,91,490,95,0
261,47,1,3,4999,1,2,1,790,3,64,416,46,0
262,40,1,2,2201,11,5,1,918,20,63,87,82,1
263,59,0,3,5098,13,30,1,705,10,62,96,80,1
264,70,1,4,9560,16,13,1,543,23,37,170,0,0
265,38,1,3,6465,15,42,1,422,45,94,248,83,1
266,66,0,3,3848,9,41,0,350,5,19,315,92,0
267,49,0,4,3771,0,3,1,911,37,60,142,86,0
268,67,0,4,9543,18,30,1,86,4,81,149,37,0
269,21,1,3,5358,19,1,0,651,28,21,194,61,1
270,38,1,1,5651,15,35,0,450,43,83,197,65,1
271,18,1,3,1072,14,25,1,793,32,12,125,55,1
272,54,0,1,5171,10,49,0,824,11,14,422,44,0
273,55,1,2,2424,8,18,0,304,12,82,309,99,1
274,29,0,4,5478,2,27,1,328,32,0,145,82,1
275,23,1,1,2008,1,2,1,17,44,6,104,54,1
276,55,1,1,8816,9,44,1,415,15,19,255,96,1
277,28,1,4,6090,18,20,1,548,37,85,407,50,1
278,49,0,2,4017,3,24,0,699,48,54,178,75,0
279,38,0,2,3780,6,12,0,153,7,80,282,63,1
280,39,0,3,2587,13,50,1,615,9,99,152,23,0
281,26,0,4,5374,5,18,0,819,5,66,461,45,1
282,53,1,2,6083,19,23,0,790,1,25,362,88,0
283,44,1,4,5230,6,12,1,169,3,69,3,37,0
284,67,1,1,8158,10,44,0,587,23,31,218,77,1
285,20,1,2,9666,5,50,0,877,36,40,74,90,1
286,53,0,2,5127,7,18,0,974,1,73,15,29,1
287,61,0,1,7032,11,50,1,242,7,67,397,55,1
288,35,1,2,5678,4,4,0,482,1,30,297,80,1
289,21,0,3,1874,2,13,0,962,10,37,434,19,1
290,27,1,4,7401,8,36,1,376,22,53,458,26,1
291,66,0,4,1835,14,40,1,830,35,6,50,95,1
292,34,1,3,9296,6,14,0,376,17,50,140,97,0
293,42,0,3,1533,5,38,1,760,18,68,192,35,1
294,57,1,1,6058,18,17,0,626,33,4,181,16,0
295,25,1,1,6794,14,11,1,946,30,8,31,54,1
296,21,0,4,1034,18,2,1,883,50,37,334,89,1
297,39,0,4,2155,17,35,0,385,49,100,311,94,0
298,49,0,2,3874,3,19,1,142,39,30,367,41,0
299,18,1,2,5644,17,41,1,675,48,38,313,90,0
300,27,0,2,7947,5,28,1,598,48,76,286,99,0
301,27,0,3,2446,4,47,1,256,20,44,369,57,0
302,24,0,4,6288,20,44,1,212,29,57,480,49,1
303,53,1,3,4611,4,47,1,994,40,81,76,44,1
304,69,0,1,7688,16,16,0,147,14,28,76,86,0
305,33,1,2,4639,12,43,1,769,11,11,78,50,1
306,24,0,3,5218,0,5,0,594,47,53,342,51,0
307,30,1,2,3436,11,29,0,917,11,70,171,48,0
308,36,1,3,2789,15,48,0,173,20,71,73,40,0
309,28,0,2,9209,14,13,0,202,9,65,325,79,0
310,50,0,2,5093,0,5,0,317,48,90,175,95,0
311,19,0,4,3897,8,46,0,641,43,23,12,15,1
312,61,0,4,6925,16,6,0,211,16,53,110,30,0
313,33,1,1,6242,16,16,0,721,39,82,498,0,1
314,30,0,2,1745,7,18,0,671,33,86,298,8,0
315,64,0,1,5299,11,24,1,834,35,29,181,80,1
316,41,1,2,7327,20,13,1,2,24,97,137,48,0
317,63,0,3,8215,10,47,1,471,50,10,160,0,0
318,37,1,3,1569,17,32,0,887,46,71,127,95,0
319,47,0,1,6494,3,4,1,18,11,100,34,85,1
320,34,1,4,2584,5,17,1,258,47,67,252,93,0
321,20,0,3,9067,16,19,0,833,48,68,122,92,0
322,55,0,1,4134,15,34,1,315,26,54,404,80,1
323,33,1,4,9737,13,26,1,565,33,53,323,86,0
324,64,0,1,8026,17,10,0,721,0,45,255,91,1
325,53,0,3,1906,2,7,1,644,8,66,450,63,0
326,58,1,2,5119,19,26,1,172,44,46,223,12,0
327,39,0,4,2209,14,5,0,708,25,3,295,8,1
328,19,1,3,7481,16,17,0,642,50,36,445,67,1
329,47,1,3,6370,5,18,0,377,27,5,12,6,1
330,55,0,4,7854,9,50,0,527,10,16,483,27,1
331,27,1,4,1271,0,1,1,32,8,16,148,74,0
332,27,0,2,1428,8,22,0,884,12,3,372,57,1
333,47,1,1,5094,2,33,0,68,13,67,331,66,0
334,51,1,2,3475,12,31,0,617,21,37,94,74,0
335,44,1,1,6814,9,37,0,543,37,38,244,92,0
336,52,0,4,4324,11,40,0,874,4,50,358,66,0
337,21,1,2,8645,0,39,0,346,35,82,209,89,1
338,66,1,1,1729,8,32,0,793,11,96,170,14,0
339,40,0,2,1936,1,28,0,515,18,59,107,1,0
340,22,1,4,7523,18,50,1,408,8,31,332,65,1
341,44,1,1,4099,18,2,1,953,15,21,25,17,1
342,67,1,1,6017,16,5,1,257,25,6,355,92,1
343,67,0,1,3764,16,15,0,625,6,44,144,52,0
344,70,0,3,5707,9,13,1,232,6,40,243,33,1
345,53,1,2,1961,14,11,1,273,48,51,14,52,0
346,20,1,1,2382,3,1,0,281,22,52,134,44,0
347,41,0,2,5006,11,41,0,986,37,25,337,99,0
348,27,0,3,7127,7,21,1,203,12,84,312,96,1
349,19,1,4,9058,9,25,0,32,1,44,346,92,1
350,31,1,4,8985,2,38,0,927,8,88,137,16,1
351,66,1,1,1955,6,18,0,820,19,0,324,24,1
352,64,0,2,1321,0,19,1,612,36,43,376,73,1
353,53,0,4,6809,19,20,0,502,4,92,184,25,0
354,30,0,1,9821,7,16,0,72,24,87,251,45,0
355,18,0,3,8578,9,25,0,685,3,65,382,60,0
356,29,1,3,3924,8,45,1,122,28,68,74,20,1
357,65,1,2,7916,11,38,0,392,48,90,147,17,1
358,50,1,3,6367,4,13,1,891,16,88,382,87,1
359,29,1,4,7732,15,39,1,668,42,9,211,65,1
360,42,0,2,7544,16,4,0,890,4,99,127,8,1
361,38,1,1,4009,0,36,1,941,2,7,168,30,0
362,25,1,1,8740,0,4,0,361,13,69,95,6,1
363,23,0,4,7596,15,35,1,759,32,28,19,36,0
364,28,1,2,3973,7,32,0,237,41,26,409,16,0
365,40,1,3,6809,12,1,1,402,0,62,141,14,1
366,20,1,4,4862,14,13,0,382,41,9,298,53,1
367,40,1,4,6058,9,2,1,913,44,5,253,44,0
368,29,1,1,1727,16,13,1,947,43,7,129,84,0
369,35,1,4,4118,1,43,1,305,29,59,284,99,0
370,59,1,3,1333,18,12,0,936,48,56,15,57,1
371,31,0,1,8167,3,28,1,304,13,23,279,98,0
372,69,1,2,8430,11,46,1,528,1,11,165,77,0
373,42,1,4,7909,0,7,1,982,41,77,218,70,0
374,33,0,1,7906,6,25,0,749,0,55,249,29,1
375,30,0,1,8711,10,34,0,570,32,31,376,61,0
376,21,0,2,7821,12,50,0,905,18,11,312,63,0
377,63,1,2,5199,17,42,1,858,13,39,49,12,0
378,57,1,3,7558,9,35,0,122,47,95,459,54,1
379,38,0,3,4330,11,21,0,429,49,33,47,15,1
380,48,0,4,2275,8,42,1,821,8,14,456,23,1
381,52,0,3,6550,1,19,0,870,17,30,159,11,1
382,52,1,3,5123,17,17,1,252,7,30,375,60,1
383,44,1,2,1769,16,31,0,109,36,62,104,30,1
384,22,1,2,4867,16,39,1,211,9,68,391,44,1
385,53,1,4,4842,19,3,1,703,33,31,342,75,1
386,19,0,1,5485,10,48,1,157,21,58,422,53,0
387,19,0,3,4829,4,14,0,842,46,78,451,15,0
388,43,0,1,1337,9,36,0,82,46,76,84,23,1
389,67,0,4,1971,19,20,0,681,2,37,78,52,1
390,22,1,3,3826,7,24,1,134,28,24,49,63,0
391,41,1,1,8337,1,18,0,966,17,63,68,61,1
392,28,0,1,2468,4,18,0,52,48,22,442,32,0
393,55,1,2,5732,1,25,1,283,50,14,266,14,1
394,33,1,4,9726,1,1,1,865,45,46,124,63,0
395,39,0,3,9105,11,16,1,741,29,34,150,78,1
396,63,1,4,3880,12,37,1,575,24,73,257,48,0
397,33,0,2,7233,10,34,1,532,43,61,403,72,1
398,28,0,1,5271,9,33,1,948,46,78,430,54,1
399,30,0,3,2918,17,46,1,430,47,93,149,47,0
400,55,1,3,7269,8,20,1,885,31,45,216,49,1
401,30,0,4,8708,11,4,1,523,16,10,273,35,0
402,70,0,4,4716,4,40,0,962,32,64,459,8,1
403,42,1,3,4929,14,23,1,93,10,29,340,33,1
404,58,1,2,8844,19,41,1,679,33,93,432,22,1
405,53,1,4,2750,14,41,1,214,30,58,241,62,0
406,67,0,2,8590,13,44,1,695,26,74,87,1,1
407,29,1,3,5194,8,44,0,175,11,69,80,46,1
408,66,0,2,9132,9,9,0,843,11,100,30,61,1
409,18,1,3,9222,12,26,0,173,29,63,399,2,1
410,56,1,4,8833,12,11,1,549,47,36,310,38,0
411,26,0,2,8098,0,11,1,876,11,69,55,89,0
412,68,0,3,9900,8,43,0,968,8,89,413,74,0
413,18,0,2,7014,15,26,0,223,8,97,359,1,0
414,68,1,3,6942,13,7,0,412,20,22,485,29,1
415,65,0,2,1643,14,18,0,559,1,77,319,25,0
416,53,1,3,1882,8,14,1,663,47,41,171,79,0
417,68,0,1,7857,10,37,0,747,17,84,455,52,0
418,33,1,1,2404,6,22,0,56,38,21,257,37,1
419,67,0,4,4338,19,10,1,825,43,89,331,30,1
420,48,0,1,3522,19,25,1,80,15,84,205,93,1
421,61,0,1,9045,8,49,0,917,44,48,343,79,1
422,24,1,1,8058,17,46,0,501,10,37,457,7,0
423,59,0,4,7665,20,50,1,486,44,85,449,46,1
424,53,0,3,8984,14,19,0,47,37,100,387,64,0
425,27,0,4,8048,10,8,0,45,10,21,164,97,0
426,35,1,4,7903,9,5,1,460,24,93,207,66,1
427,24,0,4,6713,20,43,1,743,38,39,377,28,0
428,34,0,4,4040,9,29,1,88,19,81,325,78,0
429,25,1,1,5067,7,34,0,350,41,31,433,67,1
430,28,0,3,5095,13,33,1,563,41,45,10,58,1
431,47,0,4,2378,20,22,1,277,17,77,8,14,0
432,47,0,3,8983,11,46,0,124,30,11,307,4,1
433,67,1,2,7739,0,2,0,431,21,38,67,33,0
434,58,1,1,4360,0,46,1,366,6,55,332,4,0
435,37,0,1,8183,17,7,1,472,19,18,370,34,0
436,29,0,2,4312,7,19,0,872,24,92,226,7,1
437,66,0,4,4922,19,33,1,577,33,89,247,42,0
438,45,1,1,6609,1,48,0,12,50,28,273,4,1
439,21,1,3,3124,18,33,0,639,25,78,119,90,1
440,20,0,1,4190,15,45,1,296,9,10,314,76,0
441,65,0,2,5962,2,14,0,331,34,69,129,53,1
442,28,1,4,1783,0,15,0,144,8,48,94,52,1
443,44,0,3,1383,4,39,0,355,33,87,80,85,1
444,20,1,4,1739,6,28,1,551,30,57,496,98,1
445,63,1,4,6168,0,9,0,867,35,31,295,29,1
446,53,0,1,6720,6,5,1,783,50,95,257,86,0
447,65,0,3,9563,11,50,0,700,5,81,229,69,0
448,18,0,3,3836,6,4,1,314,20,93,154,90,1
449,54,0,4,5904,1,47,0,105,0,54,108,86,0
450,43,1,4,6614,8,37,0,927,31,41,135,26,0
451,36,1,3,7752,6,32,1,102,5,53,234,67,0
452,53,0,1,1093,19,5,1,941,5,24,359,76,0
453,39,1,2,2627,8,17,1,840,7,60,492,20,1
454,65,0,3,9291,1,2,0,211,40,36,232,13,1
455,37,1,3,3297,17,33,0,146,14,96,396,29,0
456,50,1,4,1307,6,49,0,170,8,50,424,12,0
457,32,0,1,7065,3,35,0,224,20,58,103,81,0
458,50,1,3,8512,3,24,1,416,43,53,5,13,0
459,54,1,4,6478,16,10,0,440,31,25,428,69,1
460,67,0,4,9247,5,23,0,452,18,50,474,17,1
461,63,0,4,8620,0,45,1,384,48,23,200,4,0
462,42,0,4,9807,11,7,0,637,49,67,97,98,0
463,22,1,4,1191,2,8,1,659,21,93,113,3,1
464,41,1,4,2429,18,13,0,817,34,7,140,22,0
465,39,0,3,8161,1,44,0,887,44,64,216,7,1
466,36,1,3,2569,1,14,0,363,3,45,466,67,1
467,46,1,4,7228,1,15,1,501,31,34,495,55,1
468,46,0,2,7635,0,34,1,46,18,3,184,100,1
469,26,1,1,1165,4,14,1,823,29,35,215,85,0
470,22,1,3,8671,14,9,0,472,47,29,24,46,1
471,38,0,2,2517,15,50,0,509,27,69,455,71,0
472,31,0,4,6481,13,44,1,986,28,6,496,89,1
473,62,1,2,9655,10,25,0,351,7,69,347,67,0
474,56,1,1,4354,18,48,0,260,35,66,404,22,1
475,48,0,4,7154,12,33,0,229,38,24,31,85,1
476,25,0,2,8594,7,19,0,643,0,78,486,68,1
